"","PolyE.Infected.11","PolyE.Infected.12","PolyE.Infected.21","PolyE.Infected.22","PolyE.Infected.31"
"PF3D7_0315300",15.4260740997402,71.091991213759,3.99924014437257,17.9753100945256,31.3837031737952
"PF3D7_0310600.1",85.4367180908691,71.091991213759,109.979103970246,169.948386348242,84.6930071950364
"PF3D7_0309700",45.0916012146253,58.3318902266741,25.9950609384217,60.4624066815862,88.9921446161042
"PF3D7_0301300",59.3310542297702,94.7893216183454,103.980243753687,138.900123457698,102.319470621415
"PF3D7_0314600",46.2782222992207,47.3946608091727,19.9962007218628,82.5230145248676,48.5802528580666
"PF3D7_0303000",86.6233391754645,127.60100987085,167.968086063648,133.997766159191,132.413432568889
"PF3D7_0315100",140.021287982258,158.58982655377,135.974164908667,191.191934641772,56.7486139580954
"PF3D7_0313100",198.165721127432,295.305194272538,109.979103970246,112.754217865661,126.394640179394
"PF3D7_0303200",45.0916012146253,49.2175323787563,33.9935412271668,76.8035976766095,39.1221505317173
"PF3D7_0322700",300.215134402637,446.603534547973,727.861706275808,438.760978216375,803.078870255472
"PF3D7_0323000",30.8521481994805,14.5829725566685,29.9943010827943,35.1335606393001,43.8512016948919
"PF3D7_0302200",32.0387692840759,162.235569692937,9.99810036093142,50.6576920845722,32.2435306580088
"PF3D7_0316800",403.451168762437,244.264790324198,321.938831621992,285.970842412908,233.87307570609
"PF3D7_0312200",18.9859373535265,118.486652022932,33.9935412271668,21.2435482935303,15.4768947158442
"PF3D7_0321900",196.979100042837,388.271644321299,251.952129095472,278.617306465147,250.209797906148
"PF3D7_0318200",1915.20643053698,1786.41413819189,1699.67706135834,1643.92381409934,2073.47397818102
"PF3D7_0320400",15.4260740997402,58.3318902266741,7.99848028874514,13.8900123457698,61.0477513791633
