"","ProE.Infected.21","ProE.Infected.22","ProE.Infected.31","ProE.Infected.32"
"PF3D7_0417400",2702.25532795365,1978.8205710928,1418.78643278831,1990.9972299169
"PF3D7_0417300",364.163045727292,164.181619435647,116.903751016266,417.770685294472
"PF3D7_0415900",2801.57252224291,2791.087530406,1987.36376727651,2849.12079971095
"PF3D7_0419900",1787.7094972067,1067.18052633171,2207.88675214811,1825.39443574612
"PF3D7_0403800",57.9350300020691,241.951860220954,132.845171609393,94.0924966879441
"PF3D7_0404300",281.398717152907,427.736324319186,467.615004065062,225.821992051066
"PF3D7_0410900",211.04903786468,384.530634994016,401.192418260366,105.383596290497
"PF3D7_0420100",314.504448582661,583.2768058898,85.0209098300113,86.5650969529086
"PF3D7_0419500",62.0732464307883,108.014223312926,61.1087789403206,94.0924966879441
"PF3D7_0409100",107.5936271467,388.851203926533,130.188268177205,161.839094303264
"PF3D7_0424700",2582.24705152079,2220.77243131376,2263.68172422405,846.832470191497
"PF3D7_0416200",49.6585971446307,56.1673961227214,26.5690343218785,169.366494038299
"PF3D7_0416100",165.528657148769,95.0525165153747,82.3640063978235,286.04118993135
"PF3D7_0402100",910.407614318229,514.147702969527,1153.09608956953,508.099482114898
"PF3D7_0415500",289.675150010346,177.143326233198,124.874461312829,199.476092978442
"PF3D7_0405400",4167.18394372026,2324.46608569416,2842.886672441,2837.82970010839
"PF3D7_0420000",1133.87130146907,838.190372908305,1187.63583418797,1001.14416475973
"PF3D7_0418300",629.008897165322,1149.27133604953,1038.84924198545,496.808382512345
"PF3D7_0405100",388.992344299607,665.367615607623,305.543894701603,263.458990726243
"PF3D7_0419600",463.480240016553,544.391685497146,324.142218726918,350.024087679152
"PF3D7_0310500",306.228015725222,380.210066061499,571.234237920389,353.78778754667
"PF3D7_0315800",49.6585971446307,224.669584490886,151.443495634708,139.256895098157
"PF3D7_0319500",124.146492861577,311.080963141226,122.217557880641,259.695290858726
"PF3D7_0308200",368.301262156011,453.659737914289,446.359776607559,737.685174033482
"PF3D7_0302100",459.342023587834,509.82713403701,398.535514828178,101.61989642298
"PF3D7_0321000",107.5936271467,138.258205840545,74.3932961012599,116.674695893051
"PF3D7_0316900",103.455410717981,95.0525165153747,185.98324025315,188.184993375888
"PF3D7_0307100",852.47258431616,794.984683583134,762.531285037914,952.216066481995
"PF3D7_0313000",211.04903786468,138.258205840545,191.297047117525,297.332289533903
"PF3D7_0308900",562.797434305814,427.736324319186,696.108699233218,933.397567144406
"PF3D7_0304200",653.838195737637,267.875273816056,244.435115761283,440.352884499578
"PF3D7_0306900",910.407614318229,1322.09409335021,969.769752748567,1012.43526436228
